sample	contig	n	mean	sigma	prop	min	conv	synthrate	synthrate_norm
hsa_dRNA_HeLa_DRB_0h_1	ENST00000000233	269	108.719515279965	53.9209423619465	0.513987646903292	4.89	1	0.750958375174596	0.877949942166872
hsa_dRNA_HeLa_DRB_0h_1	ENST00000000412	98	103.161701114945	51.2299112765295	0.523161925970932	5.8	1	1.89900429819518	2.22013731904577
hsa_dRNA_HeLa_DRB_0h_1	ENST00000000442	38	128.430447334403	67.5206365475206	0.529427305328781	19.68	1	5.40556531258598	6.31967884033614
hsa_dRNA_HeLa_DRB_0h_1	ENST00000001008	614	107.244356865524	51.8839897568311	0.521244822794846	6.3	1	0.315407430096824	0.368744718970777
hsa_dRNA_HeLa_DRB_0h_1	ENST00000002125	12	132.322472638019	14.9393404856011	0.605003090843029	17.58	0	15.8046675538651	18.477331665229
hsa_dRNA_HeLa_DRB_0h_1	ENST00000002165	131	116.713734187504	46.5154887855227	0.518139747115118	7.6	1	1.6075378761125	1.87938217619038
hsa_dRNA_HeLa_DRB_0h_1	ENST00000002501	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000002596	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000002829	69	159.159100129893	43.6752029864589	0.514074934310585	17.71	1	3.98772011935076	4.66206751785369
hsa_dRNA_HeLa_DRB_0h_1	ENST00000003100	94	116.757532446799	58.5493839911425	0.526810892708608	2.03	1	2.31678137491121	2.70856300609694
hsa_dRNA_HeLa_DRB_0h_1	ENST00000003302	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000003583	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000003912	18	149.668206249727	35.3359545332981	0.546817174101681	41.91	1	10.9480230274562	12.7993994095373
hsa_dRNA_HeLa_DRB_0h_1	ENST00000004103	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000004531	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005178	13	155.625834773426	56.9647543730259	0.52375011924746	25.36	1	19.1321175126847	22.3674733767848
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005257	77	103.684912110115	44.1788249948988	0.528526099600825	10.84	1	2.2813974187137	2.6671954106027
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005259	26	126.074309846666	61.1402410743692	0.562024487122386	21.48	1	7.15779857141632	8.36822525663425
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005260	44	147.085352690994	56.0935874099793	0.545761555536314	17.75	1	5.38594154181065	6.29673657218008
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005286	56	165.044267476571	55.9066216210682	0.469639861573347	8	1	5.97130301041644	6.98108617729592
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005340	53	148.327036646521	62.1834261258366	0.513297157966973	3.04	1	5.34050266953469	6.24361371396902
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005374	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005386	15	101.986605966955	38.1549149113384	0.539046568133996	9.32	1	11.460556650079	13.3986055429472
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005995	186	148.032009174796	51.7092838816444	0.509085309482322	20.19	1	1.3501128733629	1.57842506092581
hsa_dRNA_HeLa_DRB_0h_1	ENST00000006015	23	131.104433712816	51.2552335139537	0.520528744254963	25.68	1	8.80579810736994	10.2949114021148
hsa_dRNA_HeLa_DRB_0h_1	ENST00000006251	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000006275	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000006658	15	112.770480984127	59.1996873174552	0.587911441703925	25.76	1	9.86661990360851	11.5351245290281
hsa_dRNA_HeLa_DRB_0h_1	ENST00000006777	25	121.528914943221	59.2558006316774	0.583933059962307	24.79	1	6.62671265432141	7.74732952444309
hsa_dRNA_HeLa_DRB_0h_1	ENST00000007264	109	128.13295764808	47.6128865309778	0.502593764758271	1.9	0	2.30424770478096	2.69390981714565
hsa_dRNA_HeLa_DRB_0h_1	ENST00000007390	286	99.2983676657054	45.4069268150684	0.510922659128992	10.08	1	0.610566646285138	0.713817129571833
hsa_dRNA_HeLa_DRB_0h_1	ENST00000007516	273	121.231340155481	58.5651224824774	0.512603551201434	3.96	1	0.838006969612416	0.979718976215693
hsa_dRNA_HeLa_DRB_0h_1	ENST00000008180	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000008440	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000008527	17	143.488632957451	81.5504934384558	0.596050343355157	28.81	1	11.317503653637	13.2313614264889
hsa_dRNA_HeLa_DRB_0h_1	ENST00000009041	40	159.411772458106	71.3400619835948	0.555240385758674	21.72	1	6.19964685520696	7.24804433630359
hsa_dRNA_HeLa_DRB_0h_1	ENST00000009180	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000009589	459	109.316243931409	58.6469530346916	0.548968125956709	18.21	1	0.361566618324621	0.422709702883025
hsa_dRNA_HeLa_DRB_0h_1	ENST00000010132	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000010404	39	167.631635454822	89.0607941696754	0.564690253815841	25.34	1	6.46107038070191	7.55367614850089
hsa_dRNA_HeLa_DRB_0h_1	ENST00000011473	22	146.804734100565	46.3315685344701	0.5051298525579	17.4	1	11.6445966090141	13.613767763178
hsa_dRNA_HeLa_DRB_0h_1	ENST00000011619	29	147.619660593671	96.7227633058612	0.58597932159522	16.76	1	7.70061659710576	9.00283706737592
hsa_dRNA_HeLa_DRB_0h_1	ENST00000011691	21	120.714394989765	57.5858211923187	0.527957567735157	1.71	1	10.7335822009399	12.548695352612
hsa_dRNA_HeLa_DRB_0h_1	ENST00000011898	12	133.915561151457	56.8284359359262	0.578020765674289	24.11	1	15.8306828624291	18.5077463185631
hsa_dRNA_HeLa_DRB_0h_1	ENST00000012049	15	131.116494032971	51.2057964724695	0.531271446160683	23.65	1	13.4854470107631	15.7659170129652
hsa_dRNA_HeLa_DRB_0h_1	ENST00000012134	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000012443	101	142.011692559197	57.3490247172248	0.499824772243789	8.32	1	2.64828835594979	3.09612980667103
hsa_dRNA_HeLa_DRB_0h_1	ENST00000013070	41	163.154617150797	74.8001924632639	0.551963538493918	20.09	1	6.32175979529028	7.39080730723263
hsa_dRNA_HeLa_DRB_0h_1	ENST00000013125	22	195.152994361855	20.5618450400758	0.638837977530076	24.58	1	12.1365951904039	14.1889662566723
hsa_dRNA_HeLa_DRB_0h_1	ENST00000013807	48	94.4780334939037	49.6757168714062	0.585348946004594	27.36	1	2.38881845436065	2.79278198790376
hsa_dRNA_HeLa_DRB_0h_1	ENST00000014914	241	153.853471022375	70.7008182989115	0.515422065316922	11.07	1	1.14947064790146	1.34385303128549
hsa_dRNA_HeLa_DRB_0h_1	ENST00000014930	83	108.038858970464	38.920356023339	0.530658361476866	19.1	1	2.01928885984989	2.36076272178367
hsa_dRNA_HeLa_DRB_0h_1	ENST00000016171	16	99.3024338264408	38.2860168097773	0.569919687116664	30.39	1	7.55725273492946	8.83522951592244
hsa_dRNA_HeLa_DRB_0h_1	ENST00000016946	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000017003	15	155.06337002899	49.6499093595106	0.529170532254094	23.54	1	16.5697523466576	19.3717968869915
hsa_dRNA_HeLa_DRB_0h_1	ENST00000019019	51	138.433290964411	77.9420975635319	0.548332646931858	16.4	1	4.36379201592661	5.1017354285719
hsa_dRNA_HeLa_DRB_0h_1	ENST00000019317	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000020945	20	128.480451705231	39.9113010278993	0.508867888452041	13.04	1	11.3428705490139	13.2610180160755
hsa_dRNA_HeLa_DRB_0h_1	ENST00000022615	187	110.088381462382	55.5813255472522	0.547606562978899	14.17	1	0.93668074100305	1.09507907439111
hsa_dRNA_HeLa_DRB_0h_1	ENST00000023939	74	100.44609327798	58.2480879834079	0.591680548674755	20.07	1	1.83572609427197	2.14615839116992
hsa_dRNA_HeLa_DRB_0h_1	ENST00000025008	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000025301	22	175.403814317627	87.1358522310827	0.520739670200969	24.71	1	13.1538256533747	15.3782164943143
hsa_dRNA_HeLa_DRB_0h_1	ENST00000026218	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000029410	34	128.94100973579	50.0809537742765	0.528533353962736	19.67	1	6.08070087427224	7.10898387631692
hsa_dRNA_HeLa_DRB_0h_1	ENST00000031146	33	181.337319569762	25.8737678316643	0.67603618450268	31.26	1	6.72715110074414	7.86475271478658
hsa_dRNA_HeLa_DRB_0h_1	ENST00000033079	25	187.588494832802	95.6389935603124	0.555402850485744	26.55	1	11.5979595489624	13.5592440964493
hsa_dRNA_HeLa_DRB_0h_1	ENST00000035307	35	156.138283759053	69.9454467279807	0.529163903254851	20.07	1	7.34680734333145	8.58919654593285
hsa_dRNA_HeLa_DRB_0h_1	ENST00000037243	82	142.597521655903	69.4784877458096	0.546472349510988	24.21	1	2.64194568195137	3.08871454844344
hsa_dRNA_HeLa_DRB_0h_1	ENST00000037869	109	103.673328459599	43.3444026355595	0.510781150910622	5.37	1	1.76565912251082	2.06424267408214
hsa_dRNA_HeLa_DRB_0h_1	ENST00000038176	25	118.16721060439	58.7241721999643	0.576256555933974	24.35	1	6.51218348066058	7.61343278034117
hsa_dRNA_HeLa_DRB_0h_1	ENST00000039989	21	164.702330350596	73.1745225621753	0.523872232364164	28.37	1	12.3923646452556	14.4879878609562
hsa_dRNA_HeLa_DRB_0h_1	ENST00000040663	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000040738	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000040877	22	166.437293748142	87.6241970450691	0.528020300233781	4.15	1	13.9704764515759	16.3329678423962
hsa_dRNA_HeLa_DRB_0h_1	ENST00000042381	16	144.925691586872	41.9449612350138	0.592535235049359	23.76	1	12.7804310633927	14.9416786387988
