sample	transcript	n	mean	sigma	prop	min	conv	synthrate	synthrate_norm
hsa_dRNA_HeLa_DRB_0h_1	ENST00000000233	345	1077.79660155576	41.5299990086496	0.371318196886316	174	1	0.000653498565809471	0.000653498565809471
hsa_dRNA_HeLa_DRB_0h_1	ENST00000000412	117	2435.84226723715	66.6104918292396	0.533835395319074	415	1	0.000566677088562105	0.000566677088562105
hsa_dRNA_HeLa_DRB_0h_1	ENST00000000442	49	2276.11716800435	49.7040107720463	0.37386548938935	361	1	0.000311782968311388	0.000311782968311388
hsa_dRNA_HeLa_DRB_0h_1	ENST00000001008	813	2213.00164244547	48.9995489411196	0.731268156652647	179	1	0.00133784633082681	0.00133784633082681
hsa_dRNA_HeLa_DRB_0h_1	ENST00000001146	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000002125	14	2150.31903501715	99.6278442654145	0.6937218176694	920	1	0.0018409905067778	0.0018409905067778
hsa_dRNA_HeLa_DRB_0h_1	ENST00000002165	181	1703.47601499856	224.797730987007	0.508073646183169	286	1	0.000728636394854616	0.000728636394854616
hsa_dRNA_HeLa_DRB_0h_1	ENST00000002501	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000002596	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000002829	80	2780.98587641687	1033.19723461163	0.548371476282919	318	1	0.000492982578721083	0.000492982578721083
hsa_dRNA_HeLa_DRB_0h_1	ENST00000003100	138	1757.71627140059	949.978226725924	0.560146480539999	209	1	0.000822283695582082	0.000822283695582082
hsa_dRNA_HeLa_DRB_0h_1	ENST00000003302	10	2376.54619022243	1593.52366240577	0.612831068311424	226	1	0.000736023192255519	0.000736023192255519
hsa_dRNA_HeLa_DRB_0h_1	ENST00000003583	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000003912	20	1856.4049181968	967.965244791828	0.580510257043605	309	1	0.000894302775446259	0.000894302775446259
hsa_dRNA_HeLa_DRB_0h_1	ENST00000004103	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000004531	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005178	17	3464.08264220817	256.195120672637	0.681046730803941	253	1	0.000664964363923347	0.000664964363923347
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005257	98	1640.57220969989	775.616661883107	0.54399556506454	244	1	0.000854206549217008	0.000854206549217008
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005259	31	2130.2408449459	1264.57780550815	0.600501846304839	282	1	0.000813281712505561	0.000813281712505561
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005260	52	2223.38302633525	583.658873541635	0.582578754400699	394	1	0.000762913759593332	0.000762913759593332
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005286	75	2588.9133261445	1029.55551316341	0.555924773485814	208	1	0.00052579432695334	0.00052579432695334
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005340	68	2278.95605453237	722.099058594975	0.569921623580661	330	0	0.000679931999527107	0.000679931999527107
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005374	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005386	33	1600.22215629205	635.84822500309	0.535833641946322	206	1	0.000827988560454344	0.000827988560454344
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005558	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000005995	267	1300.82238336753	585.783125565513	0.49698465981507	212	1	0.000907412408610345	0.000907412408610345
hsa_dRNA_HeLa_DRB_0h_1	ENST00000006015	28	2229.80998768937	235.46315461984	0.556743244564426	232	1	0.000628702826632407	0.000628702826632407
hsa_dRNA_HeLa_DRB_0h_1	ENST00000006251	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000006275	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000006658	18	2708.0096262101	34.0351421773411	0.407759053904942	534	1	0.000316696832715966	0.000316696832715966
hsa_dRNA_HeLa_DRB_0h_1	ENST00000006777	29	1718.2869792617	23.7116374654697	0.646623224568113	396	1	0.0013838453988459	0.0013838453988459
hsa_dRNA_HeLa_DRB_0h_1	ENST00000007264	133	1993.11991560345	100.083929399169	0.503557082117565	158	1	0.000552732422434983	0.000552732422434983
hsa_dRNA_HeLa_DRB_0h_1	ENST00000007390	354	1219.41918131705	37.4604147131972	0.417754691008782	225	1	0.000721515797415346	0.000721515797415346
hsa_dRNA_HeLa_DRB_0h_1	ENST00000007414	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000007516	377	731.263748016091	58.1403042714545	0.319059904194769	167	1	0.000830388208735604	0.000830388208735604
hsa_dRNA_HeLa_DRB_0h_1	ENST00000007722	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000007969	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000008180	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000008440	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000008527	20	2729.20974206224	197.597670102985	0.752575230293667	420	1	0.00131717465191211	0.00131717465191211
hsa_dRNA_HeLa_DRB_0h_1	ENST00000009041	67	1526.75539030184	131.082393006829	0.564015080812781	272	1	0.00103100359401469	0.00103100359401469
hsa_dRNA_HeLa_DRB_0h_1	ENST00000009180	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000009589	595	588.971023855974	42.5643211746497	0.324155020937344	151	1	0.00109511639956609	0.00109511639956609
hsa_dRNA_HeLa_DRB_0h_1	ENST00000010132	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000010404	52	883.299728104558	54.3470813421818	0.593362257820174	170	1	0.00204569166069622	0.00204569166069622
hsa_dRNA_HeLa_DRB_0h_1	ENST00000011473	38	1718.17393171087	306.03387465567	0.669364198522325	256	0	0.00138456569087354	0.00138456569087354
hsa_dRNA_HeLa_DRB_0h_1	ENST00000011619	42	1919.36031270644	1063.51755427792	0.570642617736747	283	1	0.000812206257270922	0.000812206257270922
hsa_dRNA_HeLa_DRB_0h_1	ENST00000011691	30	810.016283446899	29.3480030054639	0.383291560620719	333	1	0.00130291523106553	0.00130291523106553
hsa_dRNA_HeLa_DRB_0h_1	ENST00000011898	13	2124.76064218792	170.05825035055	0.547678356763056	280	1	0.000656354074278292	0.000656354074278292
hsa_dRNA_HeLa_DRB_0h_1	ENST00000012049	23	1552.46886775353	606.571984489123	0.555046589642447	283	1	0.000982636391545717	0.000982636391545717
hsa_dRNA_HeLa_DRB_0h_1	ENST00000012134	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000012443	128	2063.03848396979	52.436995489207	0.5738755758565	325	1	0.000774857651231515	0.000774857651231515
hsa_dRNA_HeLa_DRB_0h_1	ENST00000013070	52	2443.66939575067	894.63076999608	0.530560005663592	215	1	0.000507117704492084	0.000507117704492084
hsa_dRNA_HeLa_DRB_0h_1	ENST00000013125	34	2510.10273574044	1169.06695542434	0.571814542185356	314	1	0.000608093875647287	0.000608093875647287
hsa_dRNA_HeLa_DRB_0h_1	ENST00000013807	61	1231.72288018197	254.012450404607	0.507305231125366	274	1	0.0010751065962515	0.0010751065962515
hsa_dRNA_HeLa_DRB_0h_1	ENST00000014914	317	1917.9040097938	727.528563961642	0.523069972103387	176	1	0.000629623462680047	0.000629623462680047
hsa_dRNA_HeLa_DRB_0h_1	ENST00000014930	104	1184.19306832042	68.5847679267346	0.465115640864752	134	1	0.000828002976712846	0.000828002976712846
hsa_dRNA_HeLa_DRB_0h_1	ENST00000016171	30	3029.37992182641	1156.79218659796	0.538645438335471	226	1	0.000416472383725066	0.000416472383725066
hsa_dRNA_HeLa_DRB_0h_1	ENST00000016946	NA	NA	NA	NA	NA	0	NA	NA
hsa_dRNA_HeLa_DRB_0h_1	ENST00000017003	19	1595.17694567606	602.894916780452	0.532360747369731	257	1	0.000850709974326244	0.000850709974326244
hsa_dRNA_HeLa_DRB_0h_1	ENST00000019019	86	1921.64659774257	116.356594084306	0.619230413279845	265	1	0.000981657870421199	0.000981657870421199
hsa_dRNA_HeLa_DRB_0h_1	ENST00000019317	16	2440.01308652613	1039.00762694743	0.608755029035241	422	0	0.000771027406617642	0.000771027406617642
hsa_dRNA_HeLa_DRB_0h_1	ENST00000020945	32	1993.10772808746	47.3589094213003	0.592108716315346	363	1	0.000890513941665883	0.000890513941665883
