transcript,name,gene,n_readlength,maxmean_readlength,sigma_readlength,prop_readlength,min_readlength,n_polyA,maxmean_polyA,sigma_polyA,prop_polyA,min_polyA,t5,transcript_id,hist5p_0,hist5p_1,hist5p_2,hist5p_3,hist5p_4,hist5p_5,hist5p_6,hist5p_7,hist5p_8,hist5p_9,hist3p_0,hist3p_1,hist3p_2,hist3p_3,hist3p_4,hist3p_5,hist3p_6,hist3p_7,hist3p_8,hist3p_9
ENSMUST00000000001,Gnai3,ENSMUSG00000000001,722.0,1733.73918464943,892.160097807786,0.554112011799005,166.0,460.0,149.138495403819,63.8904666974049,0.50532344431647,5.72,1.9597281751018201,ENSMUST00000000001,0.06509695290858726,0.0332409972299169,0.0443213296398892,0.05817174515235457,0.05955678670360111,0.12188365650969529,0.1038781163434903,0.16759002770083103,0.2409972299168975,0.10526315789473684,0.0,0.0013850415512465374,0.0,0.0,0.0,0.02077562326869806,0.006925207756232687,0.01662049861495845,0.0013850415512465374,0.9529085872576177
ENSMUST00000000033,Igf2,ENSMUSG00000048583,24.0,1132.51743234521,158.903202700455,0.529669598878093,273.0,16.0,119.983218496851,48.8490482361901,0.49001624315048,2.78,--,ENSMUST00000000033,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.4583333333333333,0.20833333333333334,0.125,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334
ENSMUST00000000058,Cav2,ENSMUSG00000000058,371.0,1380.23633223539,746.934603404757,0.567716889202111,173.0,237.0,146.119222568764,62.8448687243241,0.521235390182764,9.42,1.8699291222147301,ENSMUST00000000058,0.0646900269541779,0.029649595687331536,0.04582210242587601,0.05121293800539083,0.07547169811320754,0.07816711590296496,0.15902964959568733,0.18328840970350405,0.2641509433962264,0.04851752021563342,0.0,0.0,0.0026954177897574125,0.0,0.02425876010781671,0.0,0.008086253369272238,0.0,0.0431266846361186,0.921832884097035
ENSMUST00000000080,Klf6,ENSMUSG00000000078,307.0,1423.84192573728,804.488556704332,0.56322046917965,200.0,185.0,158.748237302455,81.0926543320098,0.523189750464461,2.55,0.1,ENSMUST00000000080,0.019543973941368076,0.009771986970684038,0.013029315960912053,0.02280130293159609,0.03908794788273615,0.06188925081433225,0.10423452768729642,0.23127035830618892,0.31921824104234525,0.1791530944625407,0.0,0.0,0.0,0.019543973941368076,0.013029315960912053,0.0,0.0,0.0,0.026058631921824105,0.9413680781758957
ENSMUST00000000087,Scmh1,ENSMUSG00000000085,256.0,1543.63338326792,693.049001358555,0.490144150269883,161.0,183.0,161.759525756817,66.8480566357785,0.528162417719121,8.52,0.48968783698861201,ENSMUST00000000087,0.03125,0.01171875,0.0234375,0.015625,0.015625,0.265625,0.15234375,0.19140625,0.23046875,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.00390625,0.9921875
ENSMUST00000000090,Cox5a,ENSMUSG00000000088,1999.0,731.238161281622,43.3364936375071,0.419233665520647,131.0,1351.0,138.689182831908,59.7082904106691,0.502926083628135,4.93,20.606646431274498,ENSMUST00000000090,0.6363181590795398,0.03451725862931466,0.0400200100050025,0.04352176088044022,0.05152576288144072,0.06253126563281641,0.05302651325662831,0.04902451225612806,0.02801400700350175,0.0015007503751875938,0.0,0.0,0.0,0.0,0.0005002501250625312,0.0005002501250625312,0.0010005002501250625,0.0015007503751875938,0.0025012506253126563,0.9939969984992496
ENSMUST00000000137,Actr2,ENSMUSG00000020152,1131.0,1502.52961966888,871.722017242026,0.563509791709254,137.0,710.0,147.667948656938,63.6699860723803,0.510435206917015,1.78,--,ENSMUST00000000137,0.05658709106984969,0.022104332449160036,0.034482758620689655,0.03536693191865606,0.06631299734748011,0.08399646330680813,0.1184792219274978,0.19805481874447392,0.2572944297082228,0.1273209549071618,0.0,0.0008841732979664014,0.002652519893899204,0.046861184792219276,0.002652519893899204,0.0035366931918656055,0.0008841732979664014,0.002652519893899204,0.026525198938992044,0.9133510167992926
ENSMUST00000000175,Sdhd,ENSMUSG00000000171,524.0,1279.14488848118,175.403882624742,0.555389963417105,175.0,375.0,137.029731970962,58.0564709747078,0.509756727870341,5.78,8.2229971042532402,ENSMUST00000000175,0.4064885496183206,0.03625954198473282,0.05152671755725191,0.06679389312977099,0.07061068702290077,0.09732824427480916,0.08015267175572519,0.10114503816793893,0.08015267175572519,0.009541984732824428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSMUST00000000188,Ccnd2,ENSMUSG00000000184,656.0,1452.39078989809,895.355988339617,0.572777824512261,164.0,438.0,132.136008366248,55.1941960087807,0.508912132907435,1.77,2.4956529476971498,ENSMUST00000000188,0.022865853658536585,0.012195121951219513,0.01676829268292683,0.013719512195121951,0.01676829268292683,0.021341463414634148,0.07317073170731707,0.13567073170731708,0.20579268292682926,0.4817073170731707,0.0,0.0,0.012195121951219513,0.01676829268292683,0.03353658536585366,0.001524390243902439,0.0,0.001524390243902439,0.004573170731707317,0.9298780487804879
ENSMUST00000000193,Ccl2,ENSMUSG00000035385,250.0,882.545682886455,31.4847957032451,0.512430230562207,198.0,165.0,176.368957327213,73.8168338586948,0.540786208215325,8.33,0.38489455267418099,ENSMUST00000000193,0.588,0.048,0.028,0.056,0.076,0.044,0.064,0.084,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.916
ENSMUST00000000199,Ncs1,ENSMUSG00000062661,439.0,1620.06172689975,759.350937726248,0.532366787818819,138.0,313.0,140.62846010184,58.3748724108719,0.48988688770013,3.43,3.0420227127587598,ENSMUST00000000199,0.03189066059225513,0.02733485193621868,0.05011389521640091,0.0683371298405467,0.0774487471526196,0.12984054669703873,0.15945330296127563,0.22779043280182232,0.19817767653758542,0.029612756264236904,0.0,0.0,0.009111617312072893,0.08428246013667426,0.0,0.002277904328018223,0.0,0.00683371298405467,0.7949886104783599,0.10250569476082004
